Serial,Question,Option1,Option2,Option3,Option4,Answer,Topic,Subtopic
3,"What is the probability of choosing a number less than 5 from the set {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}?", "\( \frac{4}{10} \)", "\( \frac{5}{10} \)", "\( \frac{6}{10} \)", "\( \frac{3}{10} \)", "\( \frac{4}{10} \)", "Probability", "choosing_numbers"
4,"From the set {1, 2, 3, 4, 5, 6}, what is the probability of selecting an even number?", "\( \frac{2}{6} \)", "\( \frac{1}{2} \)", "\( \frac{3}{6} \)", "\( \frac{4}{6} \)", "\( \frac{3}{6} \)", "Probability", "choosing_numbers"
5,"If a number is randomly selected from the set {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, what is the probability of it being a composite number?", "\( \frac{4}{10} \)", "\( \frac{5}{10} \)", "\( \frac{6}{10} \)", "\( \frac{7}{10} \)", "\( \frac{4}{10} \)", "Probability", "choosing_numbers"
1,"What is the probability of getting a head and a 4 when tossing a coin and a die?", "\( \frac{1}{12} \)", "\( \frac{1}{6} \)", "\( \frac{1}{2} \)", "\( \frac{1}{4} \)", "\( \frac{1}{12} \)", "Probability", "coin_die"
2,"If a coin is tossed and a die is rolled, what is the probability of getting a tail and an odd number?", "\( \frac{3}{12} \)", "\( \frac{1}{4} \)", "\( \frac{1}{6} \)", "\( \frac{1}{2} \)", "\( \frac{1}{4} \)", "Probability", "coin_die"
3,"What is the probability of getting a head and a number greater than 3 on the die?", "\( \frac{2}{12} \)", "\( \frac{1}{3} \)", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "\( \frac{1}{4} \)", "Probability", "coin_die"
4,"When a coin is tossed and a die is rolled, what is the probability of getting heads or a 6?", "\( \frac{7}{12} \)", "\( \frac{2}{3} \)", "\( \frac{1}{2} \)", "\( \frac{5}{12} \)", "\( \frac{7}{12} \)", "Probability", "coin_die"
5,"What is the probability of getting tails and a number less than 3 on the die?", "\( \frac{1}{12} \)", "\( \frac{2}{12} \)", "\( \frac{1}{6} \)", "\( \frac{1}{4} \)", "\( \frac{1}{6} \)", "Probability", "coin_die"
1,"In a box containing 5 red and 3 blue balls, what is the probability of drawing a red ball?", "\( \frac{5}{8} \)", "\( \frac{3}{8} \)", "\( \frac{1}{2} \)", "\( \frac{5}{3} \)", "\( \frac{5}{8} \)", "Probability", "drawing_items"
2,"If you draw 2 balls from a box with 6 white and 4 black balls without replacement, what is the probability that both are black?", "\( \frac{4}{10} \times \frac{3}{9} \)", "\( \frac{4}{10} \times \frac{4}{9} \)", "\( \frac{1}{3} \)", "\( \frac{2}{5} \)", "\( \frac{1}{15} \)", "Probability", "drawing_items"
3,"In an urn with 3 green, 5 yellow, and 2 red balls, what is the probability of drawing a yellow ball?", "\( \frac{5}{10} \)", "\( \frac{1}{2} \)", "\( \frac{1}{3} \)", "\( \frac{5}{12} \)", "\( \frac{5}{10} \)", "Probability", "drawing_items"
4,"What is the probability of drawing a red ball from a box of 10 balls if 4 are red, replacing the ball each time?", "\( \frac{4}{10} \)", "\( \frac{2}{5} \)", "\( \frac{1}{3} \)", "\( \frac{3}{10} \)", "\( \frac{4}{10} \)", "Probability", "drawing_items"
5,"If a box contains 4 green, 3 blue, and 5 red balls, what is the probability of drawing a green ball followed by a red ball without replacement?", "\( \frac{4}{12} \times \frac{5}{11} \)", "\( \frac{1}{3} \times \frac{5}{12} \)", "\( \frac{2}{3} \times \frac{5}{12} \)", "\( \frac{4}{11} \)", "\( \frac{20}{132} \)", "Probability", "drawing_items"
6,"What is the probability of drawing 2 yellow balls in succession from an urn with 3 yellow and 7 white balls without replacement?", "\( \frac{3}{10} \times \frac{2}{9} \)", "\( \frac{3}{10} \times \frac{3}{9} \)", "\( \frac{1}{10} \)", "\( \frac{2}{9} \)", "\( \frac{1}{15} \)", "Probability", "drawing_items"
7,"If you draw a ball from a box of 5 red, 5 green, and 5 blue balls with replacement, what is the probability of drawing a blue ball?", "\( \frac{5}{15} \)", "\( \frac{1}{3} \)", "\( \frac{1}{5} \)", "\( \frac{1}{2} \)", "\( \frac{1}{3} \)", "Probability", "drawing_items"
8,"In a box containing 8 apples and 4 oranges, if you draw one fruit without replacement, what is the probability of drawing an orange first?", "\( \frac{4}{12} \)", "\( \frac{1}{3} \)", "\( \frac{1}{4} \)", "\( \frac{2}{3} \)", "\( \frac{1}{3} \)", "Probability", "drawing_items"
9,"What is the probability of drawing a white ball from a box of 6 white and 4 black balls, replacing the ball after drawing?", "\( \frac{6}{10} \)", "\( \frac{3}{5} \)", "\( \frac{1}{2} \)", "\( \frac{2}{5} \)", "\( \frac{3}{5} \)", "Probability", "drawing_items"
10,"If you draw 2 balls from a box of 3 red and 2 green balls with replacement, what is the probability that both are green?", "\( \frac{2}{5} \times \frac{2}{5} \)", "\( \frac{4}{25} \)", "\( \frac{1}{5} \)", "\( \frac{2}{5} \)", "\( \frac{4}{25} \)", "Probability", "drawing_items"
1,"If P(A) = \( \frac{1}{4} \) and P(B) = \( \frac{1}{2} \), what is P(A|B) if A and B are independent?", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "\( \frac{1}{8} \)", "\( \frac{1}{6} \)", "\( \frac{1}{4} \)", "Probability", "conditional_probability"
2,"In a class of 30 students, 18 are girls and 12 are boys. What is the probability of selecting a girl given that a student is selected at random?", "\( \frac{18}{30} \)", "\( \frac{3}{5} \)", "\( \frac{12}{30} \)", "\( \frac{1}{2} \)", "\( \frac{3}{5} \)", "Probability", "conditional_probability"
3,"If P(A) = \( \frac{1}{3} \) and P(A ∩ B) = \( \frac{1}{6} \), what is P(B|A)?", "\( \frac{1}{2} \)", "\( \frac{1}{3} \)", "\( \frac{1}{6} \)", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "Probability", "conditional_probability"
4,"In a survey, 70% of people like chocolate, and 30% like vanilla. If 20% like both, what is the probability that a person likes chocolate given they like vanilla?", "\( \frac{0.7}{0.3} \)", "\( \frac{0.2}{0.3} \)", "\( \frac{0.2}{0.7} \)", "\( \frac{0.3}{0.7} \)", "\( \frac{0.2}{0.3} \)", "Probability", "conditional_probability"
5,"If P(A) = \( \frac{3}{5} \) and P(B) = \( \frac{2}{5} \), what is P(A but not B)?", "\( \frac{1}{5} \)", "\( \frac{3}{5} \)", "\( \frac{1}{5} \)", "\( \frac{6}{25} \)", "\( \frac{3}{5} - P(A ∩ B) \)", "Probability", "conditional_probability"
6,"What is the probability of drawing a red card from a deck of cards given that a card drawn is a heart?", "\( \frac{13}{52} \)", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "\( \frac{1}{13} \)", "\( 1 \)", "Probability", "conditional_probability"
7,"If there are 4 blue, 5 green, and 3 red marbles in a bag, what is the probability of drawing a green marble given that a marble drawn is not red?", "\( \frac{5}{12} \)", "\( \frac{5}{8} \)", "\( \frac{5}{3} \)", "\( \frac{1}{3} \)", "\( \frac{5}{8} \)", "Probability", "conditional_probability"
8,"If P(A) = \( \frac{1}{2} \) and P(B|A) = \( \frac{1}{3} \), what is P(A ∩ B)?", "\( \frac{1}{6} \)", "\( \frac{1}{3} \)", "\( \frac{1}{2} \)", "\( \frac{1}{8} \)", "\( \frac{1}{6} \)", "Probability", "conditional_probability"
9,"What is P(A only) if P(A) = \( \frac{1}{4} \) and P(A ∩ B) = \( \frac{1}{8} \)?", "\( \frac{1}{8} \)", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "\( \frac{1}{16} \)", "\( \frac{1}{8} \)", "Probability", "conditional_probability"
10,"In a city, 40% of people own a car, and 25% own a bike. If 10% own both, what is the probability that a person owns a car but not a bike?", "\( \frac{15}{100} \)", "\( \frac{25}{100} \)", "\( \frac{10}{100} \)", "\( \frac{5}{100} \)", "\( \frac{30}{100} \)", "Probability", "conditional_probability"
11,"If 60% of students passed Math and 30% passed both Math and Science, what is the probability that a student passed Science given they passed Math?", "\( \frac{0.5}{0.3} \)", "\( \frac{0.3}{0.6} \)", "\( \frac{0.3}{0.4} \)", "\( \frac{0.4}{0.3} \)", "\( \frac{0.5}{0.3} \)", "Probability", "conditional_probability"
12,"In a deck of cards, if a card drawn is a face card, what is the probability that it is a king?", "\( \frac{1}{4} \)", "\( \frac{1}{13} \)", "\( \frac{3}{52} \)", "\( \frac{1}{3} \)", "\( \frac{1}{13} \)", "Probability", "conditional_probability"
13,"What is the probability of selecting an odd number from the set {1, 2, 3, 4, 5} given that the number selected is less than 4?", "\( \frac{1}{2} \)", "\( \frac{1}{3} \)", "\( \frac{1}{4} \)", "\( \frac{1}{5} \)", "\( \frac{1}{3} \)", "Probability", "conditional_probability"
14,"If a die is rolled, what is the probability of rolling a 4 given that an even number is rolled?", "\( \frac{1}{2} \)", "\( \frac{1}{3} \)", "\( \frac{1}{4} \)", "\( \frac{1}{6} \)", "\( \frac{1}{3} \)", "Probability", "conditional_probability"
15,"In a group of people, 80% like coffee, and 50% like tea. If 30% like both, what is the probability that a person likes coffee but not tea?", "\( \frac{20}{100} \)", "\( \frac{50}{100} \)", "\( \frac{30}{100} \)", "\( \frac{10}{100} \)", "\( \frac{20}{100} \)", "Probability", "conditional_probability"
16,"If \( P(A') = 0.7 \) and \( P(B|A') = 0.4 \), what is \( P(A' \cap B) \)?", "\( 0.28 \)", "\( 0.3 \)", "\( 0.4 \)", "\( 0.42 \)", "\( 0.28 \)", "Probability", "conditional_complement"
17,"In a survey, 60% of respondents like football, and 50% like basketball. If 30% like both, what is the probability that a respondent likes basketball given they don't like football?", "\( \frac{1}{2} \)", "\( \frac{1}{5} \)", "\( \frac{3}{5} \)", "\( \frac{2}{5} \)", "\( \frac{2}{5} \)", "Probability", "conditional_complement"
18,"If \( P(B) = 0.6 \) and \( P(A|B') = 0.25 \), what is \( P(A \cap B') \)?", "\( 0.15 \)", "\( 0.25 \)", "\( 0.3 \)", "\( 0.4 \)", "\( 0.25 \)", "Probability", "conditional_complement"
19,"A box contains 5 red, 4 blue, and 3 green balls. If one ball is drawn at random, what is the probability that it is blue given it is not red?", "\( \frac{1}{3} \)", "\( \frac{1}{2} \)", "\( \frac{1}{4} \)", "\( \frac{2}{5} \)", "\( \frac{1}{2} \)", "Probability", "conditional_complement"
20,"If \( P(A) = 0.3 \) and \( P(B|A') = 0.6 \), what is \( P(B) \) if events A and B are mutually exclusive?", "\( 0.7 \)", "\( 0.6 \)", "\( 0.3 \)", "\( 0.4 \)", "\( 0.6 \)", "Probability", "conditional_complement"
21,"In a group of students, 75% passed Math, and 40% passed both Math and English. What is the probability a student passed English given they failed Math?", "\( 0.6 \)", "\( 0.25 \)", "\( 0.35 \)", "\( 0.2 \)", "\( 0.2 \)", "Probability", "conditional_complement"
22,"If \( P(A) = 0.8 \) and \( P(B|A) = 0.5 \), what is the probability that B occurs given that A does not occur, \( P(B|A') \)?", "\( 0.1 \)", "\( 0.4 \)", "\( 0.2 \)", "\( 0.25 \)", "\( 0.4 \)", "Probability", "conditional_complement"
23,"A card is drawn from a standard deck. What is the probability that it is a face card given that it is not a heart?", "\( \frac{3}{13} \)", "\( \frac{1}{4} \)", "\( \frac{3}{12} \)", "\( \frac{1}{3} \)", "\( \frac{1}{4} \)", "Probability", "conditional_complement"
24,"If events A and B are independent, with \( P(A) = 0.5 \) and \( P(B) = 0.3 \), what is \( P(A' \cap B) \)?", "\( 0.15 \)", "\( 0.25 \)", "\( 0.35 \)", "\( 0.7 \)", "\( 0.15 \)", "Probability", "conditional_complement"
25,"In a factory, 90% of machines are operational. If 70% of operational machines pass quality inspection, what is the probability that a randomly selected machine passes inspection?", "\( 0.7 \)", "\( 0.63 \)", "\( 0.72 \)", "\( 0.27 \)", "\( 0.63 \)", "Probability", "conditional_complement"
26,"If you randomly form a three-digit number using the digits 1, 3, and 5 without repetition, what is the probability that the number is odd?", "\( \frac{1}{6} \)", "\( \frac{1}{3} \)", "\( \frac{1}{2} \)", "\( 1 \)", "\( 1 \)", "Probability", "number_formation"
27,"If you randomly form a three-digit number using the digits 2, 4, 6, and 8, what is the probability that the number is greater than 500?", "\( \frac{3}{8} \)", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "\( \frac{5}{8} \)", "\( \frac{1}{2} \)", "Probability", "number_formation"
28,"A four-digit number is formed using the digits 1, 2, 3, and 4 without repetition. What is the probability that the number is even?", "\( \frac{1}{2} \)", "\( \frac{3}{4} \)", "\( \frac{1}{4} \)", "\( \frac{1}{8} \)", "\( \frac{1}{2} \)", "Probability", "number_formation"
29,"If a three-digit number is randomly formed using the digits 2, 5, and 7, what is the probability that the number is divisible by 5?", "\( \frac{1}{3} \)", "\( \frac{2}{3} \)", "\( \frac{1}{2} \)", "\( \frac{1}{6} \)", "\( \frac{1}{3} \)", "Probability", "number_formation"
30,"A two-digit number is formed using the digits 1, 3, 5, and 7. What is the probability that the number formed is greater than 50?", "\( \frac{1}{6} \)", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "\( \frac{3}{4} \)", "\( \frac{1}{2} \)", "Probability", "number_formation"
31,"Which term describes the probability of an event not occurring?", "Complement", "Union", "Intersection", "Conditional", "Complement", "Probability", "prob_terminology"
32,"What is the probability of an impossible event?", "1", "0", "\( \frac{1}{2} \)", "Undefined", "0", "Probability", "prob_terminology"
33,"Which term is used to describe two events that cannot happen at the same time?", "Independent", "Mutually Exclusive", "Complementary", "Dependent", "Mutually Exclusive", "Probability", "prob_terminology"
34,"In probability, what does the term 'sample space' refer to?", "All possible outcomes", "Favorable outcomes", "Complementary events", "Random events", "All possible outcomes", "Probability", "prob_terminology"
35,"If two events A and B are independent, which of the following is true?", "\( P(A \cap B) = P(A) + P(B) \)", "\( P(A \cap B) = P(A) \times P(B) \)", "\( P(A \cup B) = P(A) - P(B) \)", "\( P(A \cup B) = P(A) + P(B) - P(A \cap B) \)", "\( P(A \cap B) = P(A) \times P(B) \)", "Probability", "prob_terminology"
37,"If the occurrence of one event does not affect the occurrence of another, what type of events are they?", "Dependent events", "Independent events", "Complementary events", "Mutually exclusive events", "Independent events", "Probability", "types_of_events"
38,"What is the term for events that cover all possible outcomes in the sample space?", "Mutually exclusive", "Exhaustive events", "Complementary events", "Conditional events", "Exhaustive events", "Probability", "types_of_events"
39,"If the occurrence of event A increases the probability of event B, what are events A and B considered to be?", "Independent events", "Conditional events", "Complementary events", "Mutually exclusive events", "Conditional events", "Probability", "types_of_events"
40,"What is the probability of at least one event occurring in a pair of mutually exclusive and exhaustive events?", "0", "\( \frac{1}{2} \)", "1", "\( P(A) + P(B) \)", "1", "Probability", "types_of_events"
43,"When probability is based on historical data or observation, what is it called?", "Empirical probability", "Subjective probability", "Classical probability", "Conditional probability", "Empirical probability", "Probability", "types_of_probability"
44,"If an experiment is conducted repeatedly and probability is calculated from the observed results, which type of probability is it?", "Classical probability", "Empirical probability", "Subjective probability", "Theoretical probability", "Empirical probability", "Probability", "types_of_probability"
46,"Which formula represents classical probability?", "\( P(A) = \frac{\text{Number of favorable outcomes}}{\text{Total number of outcomes}} \)", "\( P(A) = \frac{\text{Number of trials}}{\text{Total outcomes}} \)", "\( P(A) = \frac{\text{Observed frequency of A}}{\text{Total trials}} \)", "\( P(A) = \text{Personal belief about A} \)", "\( P(A) = \frac{\text{Number of favorable outcomes}}{\text{Total number of outcomes}} \)", "Probability", "types_of_probability"
47,"The formula \( P(A) = \frac{\text{Observed frequency of A}}{\text{Total trials}} \) represents which type of probability?", "Classical probability", "Empirical probability", "Subjective probability", "Conditional probability", "Empirical probability", "Probability", "types_of_probability"
49,"In classical probability, if there are 4 favorable outcomes out of 20, what is \( P(A) \)?", "\( \frac{1}{5} \)", "\( \frac{1}{4} \)", "\( 4 \)", "\( \frac{4}{5} \)", "\( \frac{1}{5} \)", "Probability", "types_of_probability"
55,"Which type of random variable can take on only specific, countable values?", "Continuous random variable", "Discrete random variable", "Categorical random variable", "Binary random variable", "Discrete random variable", "Random_Variable", "types_of_variable"
56,"What type of random variable represents measurements on a continuous scale, such as height or temperature?", "Discrete random variable", "Categorical variable", "Continuous random variable", "Binary variable", "Continuous random variable", "Random_Variable", "types_of_variable"
60,"Which of the following is an example of a discrete variable?", "Height of students", "Number of cars in a parking lot", "Temperature of a room", "Time taken to run a race", "Number of cars in a parking lot", "Random_Variable", "types_of_variable"
61,"A variable that can take on an infinite number of values within a range, like weight, is called what?", "Discrete variable", "Continuous variable", "Categorical variable", "Binary variable", "Continuous variable", "Random_Variable", "types_of_variable"
62,"Which of the following describes a continuous variable?", "It can only take specific values", "It has a fixed number of possible outcomes", "It can take any value within a given range", "It is always an integer", "It can take any value within a given range", "Random_Variable", "types_of_variable"
63,"Which of the following is a continuous variable?", "Number of siblings", "Age in years", "Distance traveled by a car", "Number of books read", "Distance traveled by a car", "Random_Variable", "types_of_variable"
64,"The number of goals scored in a soccer match is an example of what type of variable?", "Continuous variable", "Discrete variable", "Binary variable", "Categorical variable", "Discrete variable", "Random_Variable", "types_of_variable"
65,"Which type of variable is 'number of students in a classroom'?", "Continuous variable", "Discrete variable", "Categorical variable", "Binary variable", "Discrete variable", "Random_Variable", "types_of_variable"
66,"A variable measuring 'time spent studying in hours' would be classified as?", "Discrete variable", "Continuous variable", "Categorical variable", "Binary variable", "Continuous variable", "Random_Variable", "types_of_variable"
67,"If a variable can only take on whole numbers, such as number of pets, it is known as?", "Continuous variable", "Binary variable", "Discrete variable", "Categorical variable", "Discrete variable", "Random_Variable", "types_of_variable"
68,"Which of the following represents a continuous variable?", "Number of students", "Shoe size", "Length of a table", "Number of books", "Length of a table", "Random_Variable", "types_of_variable"
69,"What type of variable is 'temperature in Celsius'?", "Continuous variable", "Discrete variable", "Binary variable", "Categorical variable", "Continuous variable", "Random_Variable", "types_of_variable"
75,"Which of the following represents the PMF for a fair six-sided die?", "P(X=x) = \( \frac{1}{6} \)", "P(X=x) = \( \frac{1}{2} \)", "P(X=x) = \( x \)", "P(X=x) = \( \frac{x}{6} \)", "P(X=x) = \( \frac{1}{6} \)", "Probability", "pmf_example"
76,"For a discrete random variable representing the number of heads when flipping a coin twice, what is P(X=2)?", "0", "\( \frac{1}{4} \)", "\( \frac{1}{2} \)", "\( \frac{3}{4} \)", "\( \frac{1}{4} \)", "Probability", "pmf_example"
77,"In a PMF, what must the sum of all probabilities equal?", "0", "1", "Depends on the variable", "Not defined", "1", "Probability", "pmf_example"
78,"If a random variable X has a PMF defined as P(X=0) = \( \frac{1}{2} \), P(X=1) = \( \frac{1}{3} \), and P(X=2) = \( \frac{1}{6} \), what is P(X=1)?", "\( \frac{1}{2} \)", "\( \frac{1}{3} \)", "\( \frac{1}{6} \)", "1", "\( \frac{1}{3} \)", "Probability", "pmf_example"
79,"Which of the following is NOT a requirement of a valid PMF?", "P(X=x) ≥ 0", "Sum of P(X=x) = 1", "P(X=x) ≤ 1", "P(X=x) = 1 for some x", "P(X=x) = 1 for some x", "Probability", "pmf_example"


